"Entity","Region","Ownership","Deal Type","Level 4","Trade ID","Trade Description","CounterParty","Broker","Deal Type","Trade Type","Trade Date","Effective Date","Expiry Date","Has Unwinds","Option/Commitment Type","Barrier Type","Buy/Sell - 1","Pay/Receive - 1","Option Type / Interest Type - 1","Price Index - 1","Future","Number Of Contracts","Ccy1","Notional1","Unit - 1","Current Period IR Rate1","Current Period IR Spread1 bps","Strike","Buy/Sell - 2","Pay/Receive - 2","Option Type / Interest Type-2","Price Index - 2","Ccy2","Notional2","Available Balance to Draw","Unit - 2","Current Period IR Rate2","Current Period IR Spread2 bps","Original Tenor","Current Tenor","Proceeds","Debt Instrument","Trade Discount Rate","Trade Yield","Trade Price","Cpty Trade Id","Alternate Trade Id","Trade Group","Asset Class","Current Version","Trade In Link","Linked Proportion","Linked Notional Amount"
"S-GLP PTE LTD","Singapore","GLP Listco Deals","Bond Issuance","JPY Bond Issuance","422","15 YR  FIXED RATE LOAN: PAY 2.70000% JPY 15000.0 M  REPAY: TERM  MAT: 26-JUL-2027","1-S-CITIBANK NA - SG","","Actual","Loan","2012-07-26","2012-07-26","2027-07-26","No","Asset/Liability","","","Pay","Fixed","","","","JPY","-15000000000","","0.027000000","","","","","","","","","","","","","5478","2952","15000000000.0000","Interest-Bearing","0.00000000000000","0.02662880380000","1.00000000000000","","","BOND ISSUANCE","Interest Rate","6","No","0.000000000000000","0.0000"
"J-YOKOHAMA LOGISTIC TMK","Japan","Japan Portfolio","Non-recourse loan","","795","9 YR FLOATING RATE LOAN: PAY 3M TIBOR +32 bp JPY 8700.0 M REPAY: SCHEDULE MAT: 05-OCT-2021","2-J-MUFG BANK","","Actual","Loan","2012-10-05","2012-10-05","2021-10-05","No","Asset/Liability","","","Pay","Floating","TIBOR","","","JPY","-8050000000","","0.000690900","0.0032000000","","","","","","","","","","","","3287","832","8700000000.0000","Interest-Bearing","0.00000000000000","0.00920397630000","1.00000000000000","","Consolidated","NON RECOURSE LOAN","Interest Rate","34","Yes","1.000000000000000","0.0000"
"J-YOKOHAMA LOGISTIC TMK","Japan","Japan Portfolio","Non-recourse bond","","913","9 YR FLOATING RATE LOAN: PAY 3M TIBOR +32 bp JPY 5800.0 M REPAY: TERM MAT: 05-OCT-2021","2-J-MUFG BANK","","Actual","Loan","2012-10-05","2012-10-05","2021-10-05","No","Asset/Liability","","","Pay","Floating","TIBOR","","","JPY","-5800000000","","0.000690900","0.0032000000","","","","","","","","","","","","3287","832","5800000000.0000","Interest-Bearing","0.00000000000000","0.00597501220000","1.00000000000000","","Consolidated","NON RECOURSE BOND","Interest Rate","27","Yes","1.000000000000000","0.0000"
"C-21010-SHANGHAI SONGJIAN","China","China Portfolio","Project Finance","21010 C-Shanghai Songjiang LF BOC 78million facility","2672","1 YR  FIXED RATE LOAN: PAY 5.34600% CNY   78.0 M  REPAY: SCHEDULE  MAT: 11-JAN-2011","3-C-BOC SHANGHAI PUDONG","","Actual","Loan","2010-01-11","2010-01-11","2019-12-21","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-10000000","","0.044100000","","","","","","","","","","","","","3631","178","78000000.0000","Interest-Bearing","0.00000000000000","0.05345605370000","1.00000000000000","","Songjiang","PROJECT FINANCING","Interest Rate","12","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","3435","9.9 YR  FIXED RATE LOAN: PAY 5.89500% CNY  450.0 M  REPAY: SCHEDULE  MAT: 26-SEP-2022","3-C-ICBC TIANZU","","Actual","Loan","2012-10-25","2012-10-25","2022-09-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-305000000","","0.058950000","","","","","","","","","","","","","3621","1186","450000000.0000","Interest-Bearing","0.00000000000000","0.05895265040000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","10","No","0.000000000000000","0.0000"
"C-22011-AIRPORT CITY DEV","China","China Portfolio","Project Finance","22011 C-Airport City Dev ICBC 1300million facility","3436","9.9 YR  FIXED RATE LOAN: PAY 5.89500% CNY  550.0 M  REPAY: SCHEDULE  MAT: 26-DEC-2022","3-C-ICBC TIANZU","","Actual","Loan","2013-02-07","2013-02-07","2022-12-24","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-375000000","","0.058950000","","","","","","","","","","","","","3607","1277","550000000.0000","Interest-Bearing","0.00000000000000","0.05895368310000","1.00000000000000","","ACL","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22017-SUZHOU HI-TECH LF","China","China Portfolio","Project Finance","22017 C-Suzhou Hi-Tech LF CCB 80million facility","3450","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY   11.0 M  REPAY: SCHEDULE  MAT: 29-MAY-2015","3-C-CCB SUZHOU","","Actual","Loan","2013-05-29","2013-05-29","2020-06-30","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-5500000","","0.046550000","","","","","","","","","","","","","2589","370","11000000.0000","Interest-Bearing","0.00000000000000","0.04552165460000","1.00000000000000","","Suzhou-Hi Tech","PROJECT FINANCING","Interest Rate","8","No","0.000000000000000","0.0000"
"C-22025-SZTRANSFAR","China","China Portfolio","Project Finance","22025 C-Suzhou Transfar LB BOComm 250million facility","3459","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY  100.0 M  REPAY: SCHEDULE  MAT: 30-NOV-2014","3-C-BCOM SHANGHAI HUANGPU","","Actual","Loan","2012-11-30","2012-11-30","2020-09-05","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-70000000","","0.046550000","","","","","","","","","","","","","2836","437","100000000.0000","Interest-Bearing","0.00000000000000","0.05964608840000","1.00000000000000","","Suzhou Transfar","PROJECT FINANCING","Interest Rate","7","No","0.000000000000000","0.0000"
"C-22026-CDTRANSFAR","China","China Portfolio","Project Finance","22026 C-Chengdu Transfar LB BOComm 440million facility","3462","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY  110.0 M  REPAY: SCHEDULE  MAT: 07-FEB-2015","3-C-BCOM CHENGDU PIXIAN","","Actual","Loan","2013-02-07","2013-02-07","2021-12-20","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-44000000","","0.046550000","","","","","","","","","","","","","3238","908","110000000.0000","Interest-Bearing","0.00000000000000","0.05949770810000","1.00000000000000","","Chendu Transfar","PROJECT FINANCING","Interest Rate","19","No","0.000000000000000","0.0000"
"C-22026-CDTRANSFAR","China","China Portfolio","Project Finance","22026 C-Chengdu Transfar LB BOComm 440million facility","3464","2 YR  FIXED RATE LOAN: PAY 6.22250% CNY   50.0 M  REPAY: SCHEDULE  MAT: 12-MAR-2015","3-C-BCOM CHENGDU PIXIAN","","Actual","Loan","2013-03-12","2013-03-12","2021-12-20","No","Asset/Liability","","","Pay","Fixed","","","","CNY","-15200000","","0.046550000","","","","","","","","","","","","","3205","908","50000000.0000","Interest-Bearing","0.00000000000000","0.05971261390000","1.00000000000000","","Chendu Transfar","PROJECT FINANCING","Interest Rate","14","No","0.000000000000000","0.0000"
